codigo,concello_carpeta,estado,subcarpetas,pdfs,archivos_total,accion,ruta
15082,15082_Teo,CON_DOCUMENTACION,2,263,265,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15082_Teo
15083,15083_Toques,CON_DOCUMENTACION,2,181,183,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15083_Toques
15084,15084_Tordoia,CON_DOCUMENTACION,1,247,249,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15084_Tordoia
15085,15085_Touro,CON_DOCUMENTACION,1,80,82,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15085_Touro
15086,15086_Trazo,CON_DOCUMENTACION,1,44,46,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15086_Trazo
15087,15087_Valdoviño,CON_DOCUMENTACION,10,28,30,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15087_Valdoviño
15088,15088_Val do Dubra,CON_DOCUMENTACION,6,58,60,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15088_Val do Dubra
15089,15089_Vedra,CON_DOCUMENTACION,7,181,183,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15089_Vedra
15090,15090_Vilasantar,CON_DOCUMENTACION,2,7,9,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15090_Vilasantar
15091,15091_Vilarmaior,CON_DOCUMENTACION,1,36,38,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15091_Vilarmaior
15092,15092_Vimianzo,CON_DOCUMENTACION,6,80,82,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15092_Vimianzo
15093,15093_Zas,CON_DOCUMENTACION,1,104,106,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15093_Zas
15901,15901_Cariño,CON_DOCUMENTACION,3,34,36,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15901_Cariño
15902,15902_Oza-Cesuras,CON_DOCUMENTACION,3,77,79,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15902_Oza-Cesuras
